State-wise Decennial Population by Census in India,,,,,,,
"(1951, 1961, 1971, 1981, 1991, 2001 and 2011)",,,,,,,
States/UTs,1951^,1961,1971,1981,1991,2001,2011
Andaman and Nicobar Islands,31,63548,115133,188741,280661,356152,380581
Andhra Pradesh,31115,35983447,43502708,53551026,66508008,76210007,84580777
Arunachal Pradesh*,-,336558,467511,631839,864558,1097968,1383727
Assam **,8029,10837329,14625152,18041248,22414322,26655528,31205576
Bihar,29085,46447457,56353369,69914734,64530554,82998509,104099452
Chandigarh,24,119881,257251,451610,642015,900635,1055450
Chhattisgarh +,7457,-,-,-,17614928,20833803,25545198
Dadra and Nagar Haveli,42,57963,74170,103676,138477,220490,343709
Daman and Diu,49,36670,62651,78981,101586,158204,243247
Delhi,1744,2658612,4065698,6220406,9420644,13850507,16787941
Goa,547,589997,795120,1007749,1169793,1347668,1458545
Gujarat,16263,20633350,26697475,34085799,41309582,50671017,60439692
Haryana,5674,7590524,10036431,12922119,16463648,21144564,25351462
Himachal Pradesh,2386,2812463,3460434,4280818,5170877,6077900,6864602
Jammu and Kashmir ***,3254,3560976,4616632,5987389,7837051,10143700,12541302
Jharkhand +,9697,-,-,-,21843911,26945829,32988134
Karnataka,19402,23586772,29299014,37135714,44977201,52850562,61095297
Kerala,13549,16903715,21347375,25453680,29098518,31841374,33406061
Lakshadweep,21,24108,31810,40249,51707,60650,64473
Madhya Pradesh,18615,32372408,41654119,52178844,48566242,60348023,72626809
Maharashtra,32003,39553718,50412235,62782818,78937187,96878627,112374333
Manipur ++,578,780037,1072753,1420953,1837149,2293896,2570390
Meghalaya,606,769380,1011699,1335819,1774778,2318822,2966889
Mizoram,196,266063,332390,493757,689756,888573,1097206
Nagaland *,213,369200,516449,774930,1209546,1990036,1978502
Odisha,14646,17548846,21944615,26370271,31659736,36804660,41974218
Puducherry,317,369079,471707,604471,807785,974345,1247953
Punjab,9161,11135069,13551060,16788915,20281969,24358999,27743338
Rajasthan,15971,20155602,25765806,34261862,44005990,56507188,68548437
Sikkim,138,162189,209843,316385,406457,540851,610577
Tamil Nadu,30119,33686953,41199168,48408077,55858946,62405679,72147030
Tripura,639,1142005,1556342,2053058,2757205,3199203,3673917
Uttar Pradesh,60274,-,-,-,7050634,8489349,199812341
Uttarakhand  +,2946,73754573,88341521,110862512,132061653,166197921,10086292
West Bengal,26300,34926279,44312011,54580647,68077965,80176197,91276115
India,361088,439234771,548159652,683329097,846421039,1028737436,1210569573
,,,,,,,
Note : * : Arunachal Pradesh was Censused for the First Time in 1961.,,,,,,,
** : The 1981 Census Could Not be Held Owing to Disturbed Conditions Prevailing in Assam. Hence the Population Figures for 1981 of Assam.,,,,,,,
"+ : Uttaranchal, Jharkhand, Chhattisgarh States Carved Out from UP, Bihar and MP Respectively are Censused for the First Time in 2001.",,,,,,,
*** : The 1991 Census was Not Held in Jammu and Kashmir. Hence the Population Figures for 1991 of Jammu and Kashmir have been Worked.,,,,,,,
"++ : The Population of Manipur State Includes the Estimated Population of Mao Maram, Paomata and Purul Sub-divisionssof Senapati District.",,,,,,,
Â Â Â Â Â Â Â Â  ^ : Figures are in Thousands.,,,,,,,
"Source : Ministry of Statistics and Programme Implementation, Govt. of India. (ON402) &",,,,,,,
Â Â Â Â Â Â Â Â Â Â Â Â  Reserve Bank of India. (ON1197),,,,,,,
