S.No,States/UTs,Traffic Light Signal - Total Acc. - 2013,Traffic Light Signal - Persons Killed - 2013,Traffic Light Signal - Persons Injured - 2013, Police Controlled - Total Acc. - 2013, Police Controlled - Persons Killed - 2013, Police Controlled - Persons Injured - 2013, Stop Sign - Total Acc. - 2013, Stop Sign - Persons Killed - 2013, Stop Sign - Persons Injured - 2013, Flashing Signal/Blinker - Total Acc. - 2013, Flashing Signal/Blinker - Persons Killed - 2013, Flashing Signal/Blinker - Persons Injured - 2013, Uncontrolled - Total Acc. - 2013, Uncontrolled - Persons Killed - 2013, Uncontrolled - Persons Injured - 2013
1,Andhra Pradesh,1274,280,1092,3093,1104,3941,2337,784,2847,2977,1095,3841,29501,10308,36249
2,Arunachal Pradesh,81,28,109,NA,NA,NA,52,47,135,NA,NA,NA,151,60,146
3,Assam,11,2,26,3,3,NA,8,NA,19,5,3,2,1254,381,1072
4,Bihar,158,57,115,151,55,100,134,59,85,129,51,95,1582,564,1122
5,Chhattisgarh,2056,564,2108,729,209,722,449,88,301,185,14,132,8761,2228,7897
6,Goa,19,0,3,16,0,3,4,0,2,11,1,3,330,10,164
7,Gujarat,153,11,146,307,79,364,95,16,84,72,5,72,9682,2636,8966
8,Haryana,92,35,97,106,84,95,87,25,87,109,45,29,1594,695,1491
9,Himachal Pradesh,0,0,0,51,12,46,0,0,0,0,0,0,1713,598,2445
10,Jammu & Kashmir,463,85,896,652,96,789,222,33,237,1185,213,1378,3424,453,4596
11,Jharkhand,121,49,117,115,44,106,55,19,62,43,16,42,1887,823,1491
12,Karnataka,3660,522,2967,428,63,502,1063,125,1097,442,57,451,12359,2828,17844
13,Kerala,138,16,159,0,0,0,154,1,185,96,2,119,2981,310,3268
14,Madhya Pradesh,16833,2163,14452,9877,1230,4807,4753,584,3264,3358,955,5249,16989,3656,27959
15,Maharashtra,1368,259,1395,162,108,124,1287,104,389,607,215,354,59595,12343,39710
16,Manipur,26,3,53,35,16,38,14,2,21,40,3,51,556,141,1012
17,Meghalaya,62,18,8,17,2,10,0,0,0,0,0,0,82,23,104
18,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,114,97,264
19,Nagaland,0,0,0,11,7,10,0,0,0,0,0,0,43,19,42
20,Orissa,262,93,190,61,19,47,209,63,186,207,74,193,3279,1339,3913
21,Punjab,378,212,254,94,48,61,125,73,93,47,37,44,831,554,546
22,Rajasthan,350,100,222,125,48,145,29,9,24,98,40,94,3594,1261,3936
23,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,2598,230,2885,1318,211,1260,1420,205,1226,2141,505,2264,30597,7440,35766
25,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Uttarakhand,29,22,73,0,0,0,120,53,100,36,16,63,543,316,545
27,Uttar Pradesh,1047,623,1185,1246,720,1164,1542,863,1378,1955,993,1514,8896,4388,5812
28,West Bengal,1438,698,1252,1346,581,1398,794,297,1368,882,399,1340,7745,3350,7844
29,A & N Islands,12,1,12,0,0,0,4,1,4,3,0,4,0,0,0
30,Chandigarh,117,55,80,38,0,40,0,0,0,35,0,42,6,0,0
31,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,49,30,57
32,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8
33,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Puducherry,60,13,65,38,2,58,0,0,0,27,1,35,57,14,43
Total,Total,32806,6139,29961,20019,4741,15830,14957,3451,13194,14690,4740,17411,208202,56868,214312
