Year,Classes I+AC0-V (6+AC0-10 Years) +AC0- All,Classes I+AC0-V (6+AC0-10 Years) +AC0- SC,Classes I+AC0-V (6+AC0-10 Years) +AC0- ST,Classes VI+AC0-VIII (11+AC0-13 Years) +AC0- All,Classes VI+AC0-VIII (11+AC0-13 Years) +AC0- SC,Classes VI+AC0-VIII (11+AC0-13 Years) +AC0- ST,Classes I+AC0-VIII (6+AC0-13 Years) +AC0- All,Classes I+AC0-VIII (6+AC0-13 Years) +AC0- SC,Classes I+AC0-VIII (6+AC0-13 Years) +AC0- ST
1950+AC0-51,0.41,NA,NA,0.22,NA,NA,0.38,NA,NA
1960+AC0-61,0.5,NA,NA,0.34,NA,NA,0.47,NA,NA
1970+AC0-71,0.63,NA,NA,0.45,NA,NA,0.59,NA,NA
1980+AC0-81,0.67,NA,NA,0.53,NA,NA,0.63,NA,NA
1990+AC0-91,0.76,0.69,0.65,0.65,0.52,0.5,0.73,0.63,0.6
1991+AC0-92,0.77,0.69,0.66,0.68,0.52,0.5,0.75,0.65,0.63
1992+AC0-93,0.77,0.72,0.7,0.67,0.59,0.55,0.75,0.69,0.67
1993+AC0-94,0.87,0.74,0.72,0.74,0.61,0.58,0.79,0.71,0.69
1994+AC0-95,0.81,0.75,0.68,0.73,0.61,0.67,0.79,0.71,0.7
1995+AC0-96,0.82,0.76,0.7,0.73,0.62,0.61,0.8,0.72,0.71
1996+AC0-97,0.83,0.77,0.69,0.75,0.68,0.63,0.81,0.74,0.7
1997+AC0-98,0.83,0.78,0.73,0.75,0.67,0.64,0.81,0.75,0.73
1998+AC0-99,0.83,0.79,0.72,0.76,0.71,0.64,0.82,0.77,0.7
1999+AC0-00,0.83,0.78,0.72,0.76,0.72,0.64,0.82,0.77,0.71
2000+AC0-01,0.82,0.8,0.73,0.75,0.7,0.66,0.8,0.78,0.72
2001+AC0-02,0.83,0.8,0.8,0.77,0.72,0.7,0.81,0.78,0.77
2002+AC0-03,0.95,0.88,0.88,0.86,0.77,0.74,0.93,0.85,0.85
2003+AC0-04,0.95,0.89,0.93,0.86,0.8,0.79,0.93,0.87,0.9
2004+AC0-05,0.95,0.86,0.9,0.88,0.79,0.81,0.93,0.85,0.88
2005+AC0-06,0.94,0.87,0.91,0.88,0.8,0.84,0.92,0.86,0.9
2006+AC0-07,0.94,0.88,0.92,0.9,0.76,0.85,0.93,0.86,0.91
2007+AC0-08,0.98,0.99,0.96,0.91,0.95,0.87,0.96,0.98,0.94
2008+AC0-09,0.99,0.99,0.97,0.93,0.96,0.89,0.97,0.98,0.95
2009+AC0-10,1,1,0.98,0.94,0.97,0.93,0.98,0.99,0.97
2010+AC0-11,1.01,1.01,1,0.95,0.96,0.96,0.99,1,0.99
2011+AC0-12,1.01,1.02,0.98,0.99,1.02,0.96,1,1.05,0.98
