States/Uts,2008-2009,2009-2010,2010-2011
Andhra,1.6,5,8.1
Arunachal,0.9,17.2,0
Assam,5.9,2.6,0.5
Bihar,21.9,15.2,15
Chhattisgarh,2.4,10,13
Goa,5.8,6.4,0
Gujarat,4.7,11,0
Haryana,2.9,10.5,11.2
HP,-0.1,7.8,0.9
J&K,8.5,8.2,8.3
Jharkhand,-31.8,-6,-5.5
Karnataka,9.1,4.4,9.8
Kerala,11.2,14.6,0
MP,3.2,9.1,0
Maharashtra,-3.8,16.3,8.6
Manipur,-2.6,7.2,7.3
Meghalaya,-4.7,11.9,11.9
Mizoram,-3.1,11.2,0
Nagaland,-13.3,0,0
Odisha,11.2,14.7,8.7
Punjab,5.2,13.3,10.2
Rajasthan,2.4,15.4,0.2
Sikkim,9,1,3.4
Tamil Nadu,-1.3,9.4,7.8
Tripura,3.7,3.7,3.7
UP,-7.8,7,8.9
Uttarakhand,20.9,9.5,7.7
West Bengal,0.9,4.3,0
A&N Islands,1.3,31.2,0
Chandigarh,0.5,6.6,7.5
Delhi,-6.4,9.1,-0.5
Puducherry,11.3,10.1,10.8
