States/Uts,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015
Andhra,9.63,17.72,21.76,12.65,14.92,17.35,11.05,12.6,13.53,12.12
Arunachal,7.87,9.48,17.05,17.97,31.56,22.16,19.81,9.51,14.54,15.19
Assam,11.15,8.76,9.31,14.65,19.27,18.03,11.14,8.54,15.01,14.45
Bihar,5.67,23.18,12.62,26.09,14.23,25.38,19.76,20.89,17.23,17.24
Chhattisgarh,10.33,26,20.53,19.41,1.67,22.23,19.84,13.45,10.88,12.15
Goa,13.54,15.26,18.42,29.94,13.88,16.5,29.52,-2.7,14.93,0
Gujarat,19.84,16.61,16.97,11.69,18.03,22.54,12.44,9.63,16.27,0
Haryana,13.55,18.59,17.64,20.54,23.82,16.34,15.15,14.52,13.1,11.92
HP,12.05,10.55,10,14.69,18.2,18.08,12.27,12.73,11.12,0
J&K,8.53,9.39,11.1,11.62,12.91,20.72,18.04,13.48,14.52,0.48
Jharkhand,0.57,9.66,27.13,2.48,14.27,24.73,6.74,11.58,16.18,14.54
Karnataka,17.6,16.53,19.24,14.61,7.97,22.47,10.45,14.54,17.18,14.54
Kerala,14.79,12.33,13.97,16.98,14.4,13.15,18.89,11.2,13.94,0
MP,9.68,16.47,11.95,22.8,15.23,15.12,16.4,18.63,21.1,17.13
Maharashtra,18.13,20.55,17.65,9.34,13.72,23.35,11.42,12.82,14.22,11.77
Manipur,11.62,7.1,9.92,9.34,11.46,8.79,21.52,14.21,12.83,0
Meghalaya,10.52,19.19,11.92,19.98,7.55,15.55,17.83,10.32,16.48,15.76
Mizoram,11,10.51,15.86,21.78,13.55,22.37,7.93,21.28,23.11,0
Nagaland,12.82,10.01,11.13,17.48,10.55,11.73,17.86,12.93,13.07,13.11
Odisha,8.18,19.54,26.37,14.77,6.53,21.29,11.39,14.77,8.19,14.19
Punjab,11.37,17.84,20.08,14.09,13.8,14.67,12.55,10.74,11.3,9.82
Rajasthan,11.27,20.82,13.75,18.4,14.63,28.72,24.32,13.07,10.05,10.95
Sikkim,14.69,7.96,14.32,30.72,95.39,21.47,20.99,17.47,18.08,0
Tamil Nadu,18.18,20.92,13.41,14.52,19.65,22.77,14.2,11.43,14.89,14.57
Tripura,10.65,10.41,8.29,15.74,13.21,17.02,11.74,14.16,22.82,0
UP,11.95,14.74,13.16,16.96,18.03,14.81,14.41,13.44,10.1,13.22
Uttarakhand,21,21.14,23.29,20.7,25.76,19.35,17.31,9.94,13.58,12.98
West Bengal,10.37,13.78,14.64,13.52,16.74,16.2,14.04,14.02,17.16,13.6
A&N Islands,13.17,24.24,18.25,16.69,18.12,5.26,14.24,11.8,12.74,0
Chandigarh,20.62,20.64,11.31,11.5,14.51,13.62,13.29,8.58,15.87,0
Delhi,15.21,17.55,16.56,19.6,14.85,17.46,13.38,17.05,16.65,15.67
Puducherry,41.76,4.12,10.1,8.91,24.44,6.32,10.59,13.55,28.89,24.86
