Sr. No.,State/Uts/Scheme,Funds Allocated (in Crores) - 2013-14,Funds Allocated (in Crores) - 2014-15,Funds Allocated (in Crores) - 2015-16,funds 2016
1,Andhra Pradesh,170.86,157,143.41,
2,Arunachal Pradesh,13.82,19,31.16,
3,Assam,134.04,48.5,88.5,
4,Bihar,147.62,204.5,108.5,
5,Chhattisgarh,23.44,89.5,66.03,
6,Goa,14.63,55.36,32.31,
7,Gujarat,107.19,127.5,146.37,
8,Haryana,30.33,25.9,57.33,
9,Himachal Pradesh,34.31,43,64.42,
10,Jammu & Kashmir,1.89,0,9.52,
11,Jharkhand,31.52,51,100.5,
12,Karnataka,67.46,145.5,117.96,
13,Kerala,40.46,152.5,71.72,
14,Madhya Pradesh,50.45,38.75,22.27,
15,Maharashtra,107.19,128.5,225.3,
16,Manipur,31.1,13,31,
17,Meghalaya,15.28,18,40.8,
18,Mizoram,5.5,21,36.67,
19,Nagaland,14.32,30.5,44.93,
20,Odisha,56.87,103.5,63.92,
21,Punjab,49.85,69,87.67,
22,Rajasthan,182.84,160.5,104.38,
23,Sikkim,0,0,0,
24,Tamil Nadu,127.37,175,157.66,
25,Telangana,0,86,118.18,
26,Tripura,0,1.25,6.09,
27,Uttar Pradesh,204.27,287.5,229.85,
28,Uttarakhand,42.68,52,75.03,
29,West Bengal,64.69,73.4,91.32,
30,A & N Islands,5.3,1,1.29,
31,Chandigarh,0.2,15,2.17,
32,D & N Haveli,0,0,0.12,
33,Daman & Diu,0,0,0.08,
34,Delhi,0.26,0,0.62,
35,Lakshadweep,0,0,0,
36,Puducherry,1.36,2.5,3.41,
