States/UTs,Cost_13_14,Cost_14_15,Cost_15_16,Cost_16_17,Cost_17_18
Andaman and Nicobar Islands,0,0,44.38,39.52,0
Andhra Pradesh,584.25,0,5.5,619,72.9
Arunachal Pradesh,0,97.94,80.74,148.8,50.22
Assam,61.87,90.03,66.84,560,88.5
Bihar,205.74,124.67,0,0,647.4
Chhattisgarh,0,305.56,0,401.27,0
Delhi,163.07,0,0,0,0
Goa,58.82,29.42,0,0,0
Gujarat,95.2,0,473.02,796.45,780.07
Haryana,99.53,0,280.91,366.05,348
Himachal Pradesh,48.93,55.59,197.01,0,419.79
Jammu and Kashmir,110.67,347.41,785.56,0,0
Jharkhand,98.21,16.25,252.71,0,0
Karnataka,1000,70.5,0,3589,2138.69
Kerala,313.81,0,50.02,397,215.99
Madhya Pradesh,0,0,1045,550.4,944.95
Maharashtra,440.4,1787,3111.38,0,11.41
Manipur,0,0,35.49,35.42,0
Meghalaya,0,0,58.63,0,0
Mizoram,20.36,0,29.92,126.64,0
Nagaland,37.48,16.93,284.6,57.46,28.49
Odisha,136.64,70.86,257.73,399.03,82.06
Puducherry,48.4,0,0,15.74,0
Punjab,0,0,95.91,576.88,0
Rajasthan,311.92,342.03,1762.28,310.11,0
Sikkim,0,17.55,32.55,5.48,0
Tamil Nadu,255,0,390,605.65,355.91
Telangana,615.75,0,0,1020,0
Tripura,0,6.47,0,4.52,0
Uttar Pradesh,0,0,1264.17,1642.78,3055.25
Uttarakhand,0,89.49,210.58,0,0
West Bengal,0,238.54,195.28,0,618.54
India,4706.05,3706.24,11010.21,12267.2,9858.17
