Sr. No.,Name of the States/Uts,2013-14 - Allocation,2013-14 - Release,2014-15 - Allocation,2014-15 - Release,2015-16 (provisional) - Allocation,2015-16 (provisional) - Release
1,Andhra Pradesh,243.86,0,250,0,355.35, 0.00
2,Arunachal Pradesh,243.86,12.45,250,9.26,355.35,22.43
3,Assam,243.86,0,250,0.93,355.35,6.3
4,Bihar,243.86,0,250,0,355.35,6.41
5,Chhattisgarh,243.86,0,250,0,355.35, 0.00
6,Goa,243.86,0,250,0,355.35,7.89
7,Gujarat,243.86,0,250,15.16,355.35,6.13
8,Haryana,243.86,8,250,0,355.35,1.65
9,Himachal Pradesh,243.86,0,250,0,355.35, 0.00
10,Jammu & Kashmir,243.86,15,250,12,355.35, 0.00
11,Jharkhand,243.86,0,250,11.4,355.35, 0.00
12,Karnataka,243.86,45.22,250,0,355.35,34.75
13,Kerala,243.86,0,250,20.56,355.35, 0.00
14,Madhya Pradesh,243.86,0,250,0,355.35, 0.00
15,Maharashtra,243.86,0,250,0,355.35,9.38
16,Manipur,243.86,4.53,250,0,355.35,12.72
17,Meghalaya,243.86,7,250,0,355.35,13.67
18,Mizoram,243.86,0,250,0,355.35, 0.00
19,Nagaland,243.86,18.62,250,8,355.35,33.74
20,Odisha,243.86,0,250,0,355.35,18.06
21,Punjab,243.86,0,250,0,355.35,12.71
22,Rajasthan,243.86,61.91,250,0,355.35,8.21
23,Sikkim,243.86,31.74,250,0,355.35, 0.00
24,Tamil Nadu,243.86,0,250,3.79,355.35,0.3
25,Telangana,243.86,0,250,0,355.35,2.17
25,Tripura,243.86,0,250,0,355.35,0
26,Uttarakhand,243.86,0,250,0,355.35, 0.00
27,Uttar Pradesh,243.86,13.71,250,12,355.35,68.77
28,West Bengal,243.86,18.5,250,0,355.35,0
29,A&N Island,18.36,0,1,0,355.35,0
30,Chandigarh,18.36,0,1,0,355.35,0
31,Dadra & Nagar Havelli,18.36,0,1,0,355.35,0
32,Daman & Diu,18.36,0,1,0,355.35,0
33,Delhi,18.36,0,1,0,355.35,0
34,Lakshdweep,18.36,0,1,0,355.35,0
35,Puducherry,18.36,0,1,0,355.35,1.79
